,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
6832,7060 Soignies,Ecoquartier des Aulnes - Les Aubpines,158000,,,,,,,,,,,,,,
6833,7850 Enghien,La Fonderie 4-5,158000,,,,,,,,,,,,,,
6834,9050 Ledeberg,House,158000,4.0,80.0,,0.0,,,,,,80.0,,2.0,, To renovate
6835,9420 Burst,Apartment,158000,1.0,60.0,Installed,0.0,,,,,,60.0,,,0.0, To be done up
6836,6000 Charleroi,Apartment,158000,2.0,101.0,Installed,,,,,,,101.0,,,, Just renovated
6837,6000 Charleroi,Apartment,158000,2.0,101.0,Installed,,,,,,,101.0,,,, Just renovated
6838,9970 Kaprijke,Studio,158000,1.0,,,,,,,,,,,,0.0,
6839,5620 Saint-Aubin,House,158000,3.0,150.0,Not installed,0.0,,1.0,15.0,,,150.0,125.0,3.0,, As new
6840,2100 Deurne,Apartment,158000,1.0,77.0,Semi equipped,0.0,,,,,,77.0,,2.0,, Good
6841,2660 Hoboken,Apartment,158000,2.0,66.0,Installed,0.0,,,,,,66.0,,2.0,, Good
6842,1080 Molenbeek-Saint-Jean,Apartment,158000,1.0,81.0,Installed,0.0,,,,,,81.0,,2.0,, Good
6843,7070 Le Roeulx,House,158000,3.0,,Not installed,,,,,,,,440.0,2.0,, To renovate
6844,9770 Kruishoutem,Apartment,158000,1.0,65.0,,,,1.0,4.0,,,65.0,,,, As new
6845,8531 Hulste,Duplex,158000,2.0,78.0,Installed,0.0,,1.0,3.0,,,78.0,,2.0,0.0, Good
6846,7140 Morlanwelz,Rsidence les Plateaux,158000,,,,,,,,,,,,,,
6847,6032 Mont-sur-Marchienne,Apartment,158000,1.0,68.0,Hyper equipped,,,,,,,68.0,,,, As new
6848,9240 Zele,Apartment,158000,1.0,50.0,Semi equipped,0.0,,,,,,50.0,,2.0,,
6849,8780 Oostrozebeke,Apartment,158000,2.0,85.0,,0.0,,,,,,85.0,,2.0,0.0, Good
6850,8970 Poperinge,House,158000,3.0,125.0,Semi equipped,0.0,,,,,,125.0,305.0,,, Good
6851,2800 Mechelen,Apartment,158000,1.0,55.0,Semi equipped,0.0,,,,,,55.0,,1.0,0.0, Good
6852,2850 Boom,Apartment,158000,2.0,80.0,Installed,0.0,,1.0,4.0,,,80.0,,1.0,0.0, Good
6853,8500 Kortrijk,Apartment,158000,2.0,71.0,Installed,0.0,,,,,,71.0,,,, As new
6854,6920 Wellin,House,158000,3.0,100.0,Not installed,0.0,,,,1.0,595.0,100.0,595.0,3.0,0.0,
